All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
F8,GPIO0,,GPIO0,EPWM1_A,,,GPIO0,CLB_OUTPUTXBAR1,I2CA_SDA,,GPIO0,EMIF1_A13,ESC_GPI0,,GPIO0,FSITXA_D0,,
A7,GPIO1,,GPIO1,EPWM1_B,,,GPIO1,CLB_OUTPUTXBAR2,I2CA_SCL,,GPIO1,EMIF1_A14,ESC_GPI1,,GPIO1,FSITXA_D1,,
B7,GPIO2,,GPIO2,EPWM2_A,,,GPIO2,OUTPUTXBAR1,I2CB_SDA,UARTA_TX,GPIO2,EMIF1_A15,ESC_GPI2,,GPIO2,FSITXA_CLK,,
C7,GPIO3,,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,I2CB_SCL,UARTA_RX,GPIO3,,ESC_GPI3,,GPIO3,FSIRXA_D0,,
D7,GPIO4,,GPIO4,EPWM3_A,,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,MCANA_TX,ESC_GPI4,,GPIO4,FSIRXA_D1,,
D4,GPIO10,,GPIO10,EPWM6_A,EMIF1_CAS,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SD4_C1,GPIO10,MCANA_RX,CLB_OUTPUTXBAR5,ESC_TX0_DATA0,GPIO10,FSIRXB_D1,FSITXA_CLK,FSIRXA_D1
E4,GPIO11,,GPIO11,EPWM6_B,SCIB_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,SD4_D1,GPIO11,,ESC_GPO3,ESC_TX0_DATA1,GPIO11,FSIRXB_CLK,FSIRXA_D1,PMBUSA_ALERT
G4,GPIO12,,GPIO12,EPWM7_A,CLB_OUTPUTXBAR6,ADCSOCAO,GPIO12,EQEP1_STROBE,SCIA_TX,SD4_C2,GPIO12,EMIF1_A1,ESC_GPO4,ESC_TX0_DATA2,GPIO12,FSIRXC_D0,FSIRXA_D0,PMBUSA_CTL
A3,GPIO13,,GPIO13,EPWM7_B,CLB_OUTPUTXBAR7,EQEP5_STROBE,GPIO13,EQEP1_INDEX,SCIA_RX,SD4_D2,GPIO13,EMIF1_CS0n,ESC_GPO5,ESC_TX0_DATA3,GPIO13,FSIRXC_D1,FSIRXA_CLK,PMBUSA_SDA
B3,GPIO14,,GPIO14,EPWM8_A,SCIB_TX,EQEP5_INDEX,GPIO14,LINA_TX,OUTPUTXBAR3,OUTPUTXBAR8,GPIO14,,ESC_GPO6,ESC_PHY1_LINKSTATUS,GPIO14,FSIRXC_CLK,EMIF1_D17,PMBUSA_SCL
C3,GPIO15,,GPIO15,EPWM8_B,SCIB_RX,,GPIO15,LINA_RX,OUTPUTXBAR4,CLB_OUTPUTXBAR8,GPIO15,,ESC_GPO7,EQEP5_A,GPIO15,FSIRXD_D0,,EMIF1_DQM2
A10,GPIO25,,GPIO25,OUTPUTXBAR2,EQEP2_B,,GPIO25,LINB_RX,SPIB_POCI,SD2_C1,GPIO25,PMBUSA_SDA,EMIF1_DQM1,EQEP5_B,GPIO25,EPWM13_B,FSITXA_D1,ESC_RX0_DV
L10,GPIO30,,GPIO30,CANA_RX,EMIF1_CLK,MCANA_RX,GPIO30,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO30,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO30,EPWM16_A,ESC_SYNC1,SPID_PICO
P10,GPIO34,,GPIO34,OUTPUTXBAR1,EMIF1_CS2n,SPIA_CLK,GPIO34,EQEP4_STROBE,I2CB_SDA,CLB_OUTPUTXBAR3,GPIO34,EMIF1_BA1,ESC_LATCH0,EPWM18_A,GPIO34,SCIA_TX,ESC_SYNC0,
N10,GPIO35,,GPIO35,SCIA_RX,EMIF1_CS3n,SPIA_PTE,GPIO35,EQEP4_INDEX,I2CB_SCL,CLB_OUTPUTXBAR4,GPIO35,EMIF1_A0,ESC_LATCH1,EPWM18_B,GPIO35,SCIA_RX,ESC_SYNC1,
R15,GPIO41,,GPIO41,,EMIF1_A3,EPWM13_B,GPIO41,MCANB_TX,I2CB_SCL,SD4_D3,GPIO41,,CLB_OUTPUTXBAR2,,GPIO41,SD2_D1,ESC_I2C_SCL,FSIRXD_CLK
F14,GPIO46,,GPIO46,EPWM4_A,EMIF1_A6,EPWM14_A,GPIO46,,SCIA_RX,SD3_C4,GPIO46,,,,GPIO46,,ESC_MDIO_CLK,
E14,GPIO47,,GPIO47,EPWM4_B,EMIF1_A7,EPWM14_B,GPIO47,,SCIA_TX,SD4_C3,GPIO47,,,,GPIO47,,ESC_MDIO_DATA,
L13,GPIO58,,GPIO58,SPIA_PICO,EMIF1_D26,EPWM8_A,GPIO58,OUTPUTXBAR1,SPIB_CLK,SD2_D2,GPIO58,EMIF1_D3,ESC_LED_LINK0_ACTIVE,CANA_RX,GPIO58,SD2_C2,FSIRXB_D0,SPIA_PICO
L14,GPIO59,,GPIO59,EPWM5_A,EMIF1_D25,EPWM8_B,GPIO59,OUTPUTXBAR2,SPIB_PTE,SD2_C2,GPIO59,EMIF1_D4,ESC_LED_LINK1_ACTIVE,CANA_TX,GPIO59,SD2_C3,FSIRXB_D1,SPIA_POCI
L15,GPIO60,,GPIO60,EPWM3_B,EMIF1_D24,ESC_LATCH0,GPIO60,OUTPUTXBAR3,SPIB_PICO,SD2_D3,GPIO60,EMIF1_D5,ESC_LED_ERR,,GPIO60,SD2_C4,FSIRXB_CLK,SPIA_CLK
K16,GPIO61,,GPIO61,EPWM17_B,EMIF1_D23,ESC_LATCH1,GPIO61,OUTPUTXBAR4,SPIB_POCI,SD2_C3,GPIO61,EMIF1_D6,ESC_LED_RUN,,GPIO61,,CANA_RX,SPIA_PTE
K15,GPIO62,,GPIO62,SCIA_RX,EMIF1_D22,ESC_MDIO_CLK,GPIO62,EQEP3_A,CANA_RX,SD2_D4,GPIO62,EMIF1_D7,ESC_LED_STATE_RUN,,GPIO62,,CANA_TX,
K14,GPIO63,,GPIO63,SCIA_TX,EMIF1_D21,EPWM9_A,GPIO63,EQEP3_B,CANA_TX,SD2_C4,GPIO63,EMIF1_RNW,EMIF1_BA0,,GPIO63,SD1_D1,ESC_RX1_DATA0,SPIB_PICO
K13,GPIO64,,GPIO64,,EMIF1_D20,EPWM9_B,GPIO64,EQEP3_STROBE,SCIA_RX,,GPIO64,EMIF1_WAIT,EMIF1_BA1,,GPIO64,SD1_C1,ESC_RX1_DATA1,SPIB_POCI
K12,GPIO65,,GPIO65,,EMIF1_D19,EPWM10_A,GPIO65,EQEP3_INDEX,SCIA_TX,,GPIO65,EMIF1_WEn,,FSITXB_CLK,GPIO65,SD1_D2,ESC_RX1_DATA2,SPIB_CLK
K11,GPIO66,,GPIO66,EQEP6_B,EMIF1_D18,EPWM10_B,GPIO66,,I2CB_SDA,,GPIO66,EMIF1_OEn,,FSITXB_D1,GPIO66,SD1_C2,ESC_RX1_DATA3,SPIB_PTE
B16,GPIO69,,GPIO69,,EMIF1_D15,EPWM11_A,GPIO69,,I2CB_SCL,,GPIO69,,,FSITXB_D0,GPIO69,SD1_D4,ESC_RX1_CLK,SPIC_PICO
C15,GPIO70,,GPIO70,,EMIF1_D14,EPWM11_B,GPIO70,CANA_RX,SCIB_TX,UARTB_TX,GPIO70,MCANA_RX,,FSIRXB_D0,GPIO70,SD1_C4,ESC_RX1_DV,SPIC_POCI
B15,GPIO71,,GPIO71,,EMIF1_D13,EPWM12_A,GPIO71,CANA_TX,SCIB_RX,UARTB_RX,GPIO71,MCANA_TX,,,GPIO71,SD3_D1,ESC_RX1_ERR,SPIC_CLK
A15,GPIO72,,GPIO72,EQEP6_STROBE,EMIF1_D12,EPWM12_B,GPIO72,OUTPUTXBAR8,UARTA_TX,,GPIO72,MCANB_RX,,,GPIO72,SD3_C1,ESC_TX1_DATA3,SPIC_PTE
D14,GPIO73,,GPIO73,EQEP6_INDEX,EMIF1_D11,XCLKOUT,GPIO73,OUTPUTXBAR6,UARTA_RX,EPWM5_B,GPIO73,MCANB_TX,SD4_D4,,GPIO73,SD2_D2,ESC_TX1_DATA2,
E13,GPIO78,,GPIO78,EPWM10_A,EMIF1_D6,,GPIO78,,EQEP2_A,SD3_C2,GPIO78,,SD4_D4,,GPIO78,SD2_C4,ESC_RX0_DV,
A13,GPIO80,,GPIO80,EPWM11_A,EMIF1_D4,,GPIO80,ERRORSTS,EQEP2_STROBE,SD3_C3,GPIO80,,SD1_D4,,GPIO80,SD2_C1,ESC_RX0_DATA0,
D9,GPIO84,,GPIO84,EPWM12_B,EMIF1_D1,EMIF1_CS4n,GPIO84,SCIA_TX,EQEP6_A,,GPIO84,SD3_D2,,UARTA_TX,GPIO84,SD3_C2,ESC_TX0_ENA,ESC_RX0_DATA3
C9,GPIO85,,GPIO85,EPWM13_A,EMIF1_D0,,GPIO85,SCIA_RX,EQEP6_B,SD3_D1,GPIO85,,,UARTA_RX,GPIO85,SD3_D3,ESC_TX0_CLK,EMIF1_DQM2
B9,GPIO86,,GPIO86,EPWM13_B,EMIF1_A13,EMIF1_CAS,GPIO86,SCIB_TX,EQEP6_STROBE,,GPIO86,,,,GPIO86,SD3_C3,ESC_PHY0_LINKSTATUS,
A9,GPIO87,,GPIO87,EPWM14_A,EMIF1_A14,EMIF1_RAS,GPIO87,SCIB_RX,EQEP6_INDEX,,GPIO87,EMIF1_DQM3,,,GPIO87,SD3_D4,ESC_TX0_DATA0,
C6,GPIO89,,GPIO89,EPWM15_A,EMIF1_A16,EMIF1_DQM1,GPIO89,,,SD1_D3,GPIO89,EMIF1_CAS,,,GPIO89,SD4_D1,ESC_TX0_DATA2,SPID_PTE
D6,GPIO90,,GPIO90,EPWM15_B,EMIF1_A17,EMIF1_DQM2,GPIO90,,,SD1_C3,GPIO90,EMIF1_RAS,,,GPIO90,SD4_C1,ESC_TX0_DATA3,SPID_CLK
E6,GPIO91,,GPIO91,EPWM16_A,EMIF1_A18,EMIF1_DQM3,GPIO91,,I2CA_SDA,SD4_D2,GPIO91,EMIF1_DQM2,PMBUSA_SCL,,GPIO91,,CLB_OUTPUTXBAR1,SPID_PICO
A5,GPIO92,,GPIO92,EPWM16_B,EMIF1_A19,EMIF1_BA1,GPIO92,,I2CA_SCL,SD4_C2,GPIO92,EMIF1_DQM0,PMBUSA_SDA,FSIRXD_CLK,GPIO92,,CLB_OUTPUTXBAR2,SPID_POCI
F4,GPIO100,,GPIO100,SPIA_PICO,EMIF1_BA1,EPWM9_A,GPIO100,EQEP2_A,SPIC_PICO,SD4_C4,GPIO100,SD1_D1,ESC_GPI0,FSIRXD_D1,GPIO100,FSITXA_D0,EMIF1_D24,
H1,C0/ GPIO199,,GPIO199,EQEP1_STROBE,EPWM17_A,SCIB_TX,GPIO199,EPWM12_A,SPIB_CLK,SD1_D4,GPIO199,MCANA_TX,EMIF1_RAS,,GPIO199,,SPIC_CLK,
K5,C6/ GPIO203,,GPIO203,OUTPUTXBAR3,EQEP2_INDEX,SPIA_POCI,GPIO203,OUTPUTXBAR3,SPIB_CLK,SD3_D1,GPIO203,PMBUSA_ALERT,EMIF1_DQM2,ESC_MDIO_CLK,GPIO203,EPWM14_A,FSITXA_D0,EPWM8_B
L6,C5/ GPIO204,,GPIO204,OUTPUTXBAR4,EQEP2_STROBE,SPIA_CLK,GPIO204,OUTPUTXBAR4,SPIB_PTE,SD2_C2,GPIO204,PMBUSA_CTL,EMIF1_DQM3,ESC_MDIO_DATA,GPIO204,EPWM14_B,FSITXA_CLK,SD1_D3
M6,C4/ GPIO205,,GPIO205,EQEP1_INDEX,EPWM10_A,SPIA_PTE,GPIO205,,,,GPIO205,,,OUTPUTXBAR1,GPIO205,,,SD1_C3
L5,C3/ GPIO206,,GPIO206,EMIF1_A11,EPWM10_B,EMIF1_WEn,GPIO206,,,,GPIO206,,,OUTPUTXBAR2,GPIO206,,ESC_PHY_CLK,ESC_LED_STATE_RUN
N5,B6/ GPIO207,,GPIO207,EQEP2_A,EPWM11_A,EXTSYNCOUT,GPIO207,CANA_TX,SD4_D1,SCIA_RX,GPIO207,LINA_RX,I2CB_SCL,OUTPUTXBAR3,GPIO207,,ESC_RX1_CLK,PMBUSA_ALERT
P5,B7/ GPIO208,,GPIO208,EQEP2_B,EPWM11_B,EMIF1_D13,GPIO208,SPIB_PICO,SD4_C1,SCIA_TX,GPIO208,,,OUTPUTXBAR4,GPIO208,,ESC_RX1_DV,PMBUSA_CTL
N6,A6/ GPIO209,,GPIO209,EQEP2_STROBE,EPWM12_A,EMIF1_D14,GPIO209,SPIB_POCI,SD4_D2,EPWM12_B,GPIO209,,LINB_RX,OUTPUTXBAR5,GPIO209,,ESC_RX1_ERR,PMBUSA_SDA
T8,A10/ GPIO213,,GPIO213,EQEP6_STROBE,EPWM8_A,,GPIO213,,SD4_D4,,GPIO213,,LINB_TX,,GPIO213,,ESC_LED_ERR,
R8,A11/ GPIO214,,GPIO214,CANA_RX,EMIF1_CLK,MCANA_RX,GPIO214,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO214,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO214,EPWM16_A,ESC_SYNC1,SPID_PICO
